Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
76000	1.7329	0.4472	0.4198	0.4378	0.4281	0.8529	0.8773	0.8602	0.8710	0.424380	0.396441	0.418984	0.390043
77000	1.7331	0.4474	0.4197	0.4376	0.4283	0.8528	0.8774	0.8606	0.8709	0.424808	0.397096	0.419500	0.390373
78000	1.7326	0.4473	0.4191	0.4376	0.4285	0.8528	0.8777	0.8608	0.8708	0.425163	0.397705	0.419956	0.390669
79000	1.7330	0.4477	0.4190	0.4375	0.4288	0.8526	0.8778	0.8609	0.8706	0.425506	0.398264	0.420387	0.390930
80000	1.7339	0.4479	0.4191	0.4377	0.4292	0.8525	0.8777	0.8608	0.8705	0.425842	0.398829	0.420795	0.391184
81000	1.7347	0.4482	0.4194	0.4378	0.4292	0.8523	0.8776	0.8607	0.8703	0.426951	0.400122	0.422019	0.391997
82000	1.7355	0.4488	0.4195	0.4377	0.4295	0.8521	0.8776	0.8608	0.8702	0.427710	0.401067	0.422879	0.392408
83000	1.7365	0.4489	0.4198	0.4380	0.4298	0.8521	0.8776	0.8607	0.8700	0.428340	0.401912	0.423632	0.392715
84000	1.7373	0.4492	0.4200	0.4384	0.4297	0.8519	0.8777	0.8606	0.8700	0.428846	0.402618	0.424292	0.392958
85000	1.7370	0.4494	0.4199	0.4381	0.4296	0.8517	0.8778	0.8608	0.8700	0.429312	0.403309	0.424902	0.393155
86000	1.7371	0.4496	0.4198	0.4382	0.4295	0.8516	0.8779	0.8608	0.8700	0.429728	0.403932	0.425462	0.393345
87000	1.7374	0.4496	0.4196	0.4383	0.4299	0.8516	0.8781	0.8608	0.8698	0.430176	0.404622	0.426083	0.393562
