Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
113000	1.7385	0.2885	0.2929	0.2727	0.2967	0.2925	0.2951	0.9129	0.9046	0.9158	0.9036	0.9038	0.9056	0.423588	0.365342	0.387921	0.345841	0.346370	0.421629
114000	1.7389	0.2884	0.2929	0.2730	0.2969	0.2926	0.2951	0.9130	0.9045	0.9156	0.9035	0.9037	0.9056	0.423902	0.365484	0.387411	0.346130	0.346379	0.421786
115000	1.7395	0.2883	0.2930	0.2733	0.2971	0.2926	0.2951	0.9130	0.9045	0.9154	0.9035	0.9037	0.9056	0.424133	0.365579	0.386859	0.346334	0.346341	0.421876
116000	1.7401	0.2885	0.2933	0.2736	0.2971	0.2926	0.2951	0.9129	0.9044	0.9153	0.9034	0.9037	0.9055	0.424296	0.365631	0.386282	0.346516	0.346267	0.421928
117000	1.7409	0.2884	0.2937	0.2739	0.2971	0.2927	0.2951	0.9129	0.9042	0.9151	0.9034	0.9036	0.9056	0.424429	0.365656	0.385628	0.346650	0.346128	0.421941
118000	1.7417	0.2885	0.2938	0.2741	0.2972	0.2929	0.2952	0.9128	0.9042	0.9150	0.9033	0.9035	0.9055	0.424513	0.365646	0.384957	0.346777	0.345966	0.421922
119000	1.7420	0.2886	0.2937	0.2743	0.2971	0.2928	0.2954	0.9127	0.9042	0.9148	0.9035	0.9036	0.9054	0.424576	0.365622	0.384262	0.346874	0.345764	0.421867
120000	1.7425	0.2886	0.2938	0.2746	0.2972	0.2927	0.2956	0.9126	0.9041	0.9148	0.9034	0.9036	0.9053	0.424618	0.365604	0.383561	0.346946	0.345538	0.421814
121000	1.7417	0.2885	0.2937	0.2740	0.2973	0.2926	0.2955	0.9126	0.9041	0.9150	0.9034	0.9037	0.9053	0.425048	0.365943	0.384107	0.347533	0.346104	0.422075
122000	1.7427	0.2887	0.2941	0.2744	0.2974	0.2925	0.2956	0.9124	0.9040	0.9148	0.9033	0.9037	0.9053	0.425200	0.365967	0.383342	0.347716	0.345841	0.422052
123000	1.7427	0.2888	0.2942	0.2746	0.2972	0.2924	0.2956	0.9123	0.9040	0.9147	0.9034	0.9037	0.9053	0.425301	0.365975	0.382550	0.347866	0.345547	0.421980
124000	1.7433	0.2888	0.2943	0.2748	0.2973	0.2924	0.2957	0.9123	0.9039	0.9146	0.9033	0.9037	0.9052	0.425383	0.365956	0.381706	0.348010	0.345230	0.421885
125000	1.7442	0.2890	0.2944	0.2752	0.2973	0.2926	0.2957	0.9121	0.9038	0.9144	0.9033	0.9037	0.9051	0.425429	0.365925	0.380860	0.348111	0.344906	0.421743
