88000	1.4414	0.7156	0.7258	0.7657	0.7630	0.280004	0.281362
89000	1.4420	0.7159	0.7262	0.7655	0.7629	0.279948	0.281418
90000	1.4428	0.7161	0.7267	0.7653	0.7627	0.279890	0.281494
91000	1.4433	0.7164	0.7269	0.7651	0.7626	0.280046	0.281577
92000	1.4441	0.7168	0.7273	0.7650	0.7625	0.280004	0.281489
93000	1.4451	0.7174	0.7277	0.7647	0.7622	0.279968	0.281407
94000	1.4452	0.7179	0.7273	0.7645	0.7623	0.279970	0.281359
95000	1.4456	0.7182	0.7274	0.7646	0.7623	0.279993	0.281311
96000	1.4448	0.7175	0.7273	0.7653	0.7623	0.280037	0.281290
97000	1.4449	0.7176	0.7273	0.7653	0.7624	0.280137	0.281296
98000	1.4451	0.7178	0.7273	0.7654	0.7622	0.280268	0.281303
99000	1.4455	0.7184	0.7271	0.7651	0.7623	0.280398	0.281309
100000	1.4456	0.7189	0.7267	0.7649	0.7624	0.280542	0.281317
101000	1.4459	0.7190	0.7269	0.7648	0.7623	0.280767	0.281567
102000	1.4463	0.7191	0.7272	0.7647	0.7622	0.280782	0.281593
103000	1.4462	0.7190	0.7272	0.7647	0.7621	0.280780	0.281624
104000	1.4468	0.7191	0.7276	0.7646	0.7619	0.280784	0.281690
105000	1.4469	0.7189	0.7280	0.7646	0.7618	0.280750	0.281739
106000	1.4475	0.7190	0.7285	0.7644	0.7615	0.280690	0.281777
107000	1.4481	0.7191	0.7289	0.7645	0.7613	0.280650	0.281859
108000	1.4488	0.7194	0.7294	0.7644	0.7611	0.280607	0.281940
109000	1.4491	0.7194	0.7298	0.7643	0.7609	0.280559	0.282019
110000	1.4491	0.7190	0.7301	0.7644	0.7607	0.280477	0.282097
111000	1.4495	0.7193	0.7303	0.7643	0.7607	0.280621	0.282191
112000	1.4495	0.7190	0.7306	0.7644	0.7607	0.280593	0.282133
113000	1.4497	0.7190	0.7308	0.7643	0.7606	0.280583	0.282080
114000	1.4501	0.7191	0.7310	0.7643	0.7605	0.280556	0.282015
115000	1.4507	0.7194	0.7313	0.7641	0.7603	0.280538	0.281956
116000	1.4511	0.7198	0.7313	0.7640	0.7604	0.280541	0.281933
117000	1.4517	0.7205	0.7313	0.7637	0.7603	0.280524	0.281889
118000	1.4522	0.7206	0.7316	0.7636	0.7602	0.280498	0.281834
119000	1.4522	0.7208	0.7315	0.7636	0.7602	0.280483	0.281777
120000	1.4524	0.7209	0.7315	0.7635	0.7601	0.280451	0.281704
121000	1.4526	0.7211	0.7315	0.7634	0.7600	0.280542	0.281899
122000	1.4525	0.7214	0.7312	0.7632	0.7601	0.280483	0.281909
123000	1.4528	0.7216	0.7313	0.7631	0.7600	0.280423	0.281919
124000	1.4529	0.7220	0.7310	0.7630	0.7601	0.280335	0.281891
125000	1.4534	0.7224	0.7311	0.7629	0.7601	0.280247	0.281840
126000	1.4533	0.7224	0.7308	0.7629	0.7601	0.280145	0.281785
127000	1.4535	0.7230	0.7304	0.7627	0.7602	0.280067	0.281751
128000	1.4537	0.7234	0.7303	0.7626	0.7602	0.279965	0.281698
129000	1.4538	0.7236	0.7302	0.7625	0.7602	0.279847	0.281624
130000	1.4540	0.7238	0.7302	0.7623	0.7603	0.279768	0.281585
131000	1.4542	0.7240	0.7301	0.7623	0.7603	0.279858	0.281635
132000	1.4548	0.7248	0.7299	0.7620	0.7603	0.279829	0.281592
133000	1.4553	0.7252	0.7301	0.7618	0.7603	0.279798	0.281558
134000	1.4556	0.7255	0.7300	0.7616	0.7603	0.279807	0.281550
135000	1.4560	0.7257	0.7303	0.7615	0.7602	0.279784	0.281514
136000	1.4565	0.7261	0.7304	0.7614	0.7601	0.279774	0.281485
137000	1.4569	0.7261	0.7308	0.7614	0.7600	0.279753	0.281456
138000	1.4575	0.7263	0.7312	0.7614	0.7598	0.279750	0.281442
139000	1.4579	0.7265	0.7314	0.7612	0.7598	0.279734	0.281411
140000	1.4584	0.7269	0.7314	0.7611	0.7599	0.279744	0.281416
141000	1.4584	0.7269	0.7315	0.7611	0.7599	0.279875	0.281586
142000	1.4591	0.7272	0.7319	0.7609	0.7597	0.279884	0.281576
143000	1.4598	0.7276	0.7322	0.7607	0.7596	0.279882	0.281565
144000	1.4600	0.7277	0.7322	0.7607	0.7595	0.279846	0.281530
145000	1.4605	0.7281	0.7324	0.7606	0.7594	0.279833	0.281494
146000	1.4612	0.7285	0.7326	0.7604	0.7593	0.279820	0.281463
147000	1.4617	0.7288	0.7328	0.7603	0.7592	0.279787	0.281416
148000	1.4619	0.7291	0.7328	0.7602	0.7593	0.279780	0.281396
149000	1.4620	0.7294	0.7327	0.7600	0.7593	0.279771	0.281366
150000	1.4623	0.7295	0.7328	0.7600	0.7592	0.279739	0.281322
151000	1.4625	0.7298	0.7327	0.7599	0.7592	0.279840	0.281394
152000	1.4627	0.7299	0.7328	0.7598	0.7591	0.279859	0.281403
153000	1.4629	0.7303	0.7326	0.7597	0.7592	0.279857	0.281376
154000	1.4630	0.7305	0.7325	0.7596	0.7591	0.279881	0.281371
155000	1.4629	0.7307	0.7321	0.7594	0.7592	0.279916	0.281360
156000	1.4630	0.7309	0.7320	0.7594	0.7593	0.279939	0.281346
157000	1.4633	0.7311	0.7323	0.7594	0.7592	0.279988	0.281345
158000	1.4633	0.7310	0.7322	0.7595	0.7592	0.280022	0.281327
159000	1.4633	0.7311	0.7322	0.7596	0.7592	0.280105	0.281351
160000	1.4638	0.7315	0.7323	0.7595	0.7591	0.280180	0.281365
161000	1.4641	0.7318	0.7324	0.7594	0.7591	0.280267	0.281526
